Acceleration,,,Angular Velocity,,,Magnetometer,,
X,Y,Z,X,Y,Z,X,Y,Z
4229,1466,8290,158,-2,-51,-99,188,241
4330,1324,8299,171,-11,-49,-106,183,241
4422,1231,8294,175,-14,-46,-87,177,240
4448,1128,8303,179,-16,-51,-96,172,239
4584,1039,8301,183,-23,-55,-91,168,238
4722,1013,8355,196,-28,-51,-77,163,239
4854,858,8367,208,-32,-55,-74,160,238
4898,746,8417,215,-33,-59,-80,155,238
4941,601,8425,229,-41,-57,-68,152,237
4985,587,8452,234,-48,-54,-52,149,235
4993,556,8505,241,-49,-52,-54,146,236
5094,541,8551,249,-52,-46,-45,142,238
5112,529,8534,253,-53,-41,-39,136,236
5185,364,8570,256,-56,-36,-21,133,238
5358,314,8581,270,-64,-37,-11,130,240
5443,258,8570,281,-65,-33,-11,125,241
5561,86,8578,293,-70,-38,-7,120,239
5640,66,8618,301,-79,-36,-8,117,237
5716,-108,8645,312,-87,-39,-3,114,239
5777,-166,8676,321,-95,-39,15,109,237
5895,-286,8668,329,-100,-36,28,106,235
5975,-423,8722,340,-103,-35,44,103,237
6037,-566,8777,345,-109,-30,45,97,236
6131,-715,8822,350,-111,-33,64,91,237
6274,-848,8881,356,-114,-36,59,86,238
6370,-857,8887,361,-121,-36,72,83,236
6400,-961,8880,375,-130,-32,89,78,237
6436,-1000,8874,382,-137,-34,96,75,238
6448,-1140,8906,393,-142,-32,116,69,239
6502,-1232,8938,401,-145,-26,116,65,241
6606,-1270,8985,411,-148,-26,108,62,242
6648,-1407,9008,423,-153,-24,118,57,243
6812,-1451,9068,426,-155,-25,111,53,244
6880,-1488,9078,431,-160,-21,107,47,244
7006,-1586,9101,445,-163,-19,121,41,242
7014,-1708,9149,456,-170,-19,116,38,244
7036,-1818,9175,460,-173,-13,130,33,242
7196,-1876,9179,469,-177,-18,135,28,243
7336,-1919,9201,481,-179,-14,137,25,241
7407,-2056,9197,487,-185,-8,137,22,242
7551,-2104,9205,490,-191,-5,148,16,242
7655,-2155,9250,504,-193,-1,167,12,244
7725,-2285,9253,517,-201,0,178,9,245
7795,-2412,9239,523,-202,1,172,6,245
7857,-2430,9261,527,-204,5,169,2,246
7871,-2569,9247,532,-209,6,170,-3,244
7963,-2707,9264,535,-217,9,170,-8,246
8091,-2878,9282,541,-226,15,181,-12,244
8222,-2896,9286,546,-228,17,193,-16,245
8231,-3057,9343,558,-232,16,209,-22,246
8237,-3127,9338,570,-241,13,224,-27,246
8404,-3263,9381,583,-247,15,225,-31,248
